Row Labels,account_create,account_update,account_witness_proxy,account_witness_vote,claim_reward_balance,comment,comment_options,delete_comment,follow,post,resmoked,transfer,transfer_to_vesting,vote,withdraw_vesting,witness_update,Grand Total
26/01/2019,8,,,1,248,108,,2,105,473,30,8,3,1267,2,,2255
27/01/2019,11,10,,34,231,97,,,78,364,52,19,3,1111,4,2,2016
28/01/2019,9,7,,13,253,125,,1,84,504,37,13,5,1274,,2,2327
29/01/2019,17,7,,24,246,100,,8,86,445,37,8,3,1280,8,,2269
30/01/2019,9,7,,45,199,102,,3,60,427,31,8,3,1149,7,,2050
31/01/2019,11,12,,11,243,109,,1,75,436,23,18,1,1265,2,,2207
01/02/2019,11,4,,6,202,66,,3,70,355,24,4,1,1203,1,2,1952
02/02/2019,11,18,,11,218,87,,4,56,311,26,12,5,1144,6,,1909
03/02/2019,9,8,,33,221,116,,3,56,346,36,14,7,1148,7,5,2009
04/02/2019,10,10,,23,217,132,,,82,429,37,11,5,1716,4,1,2677
05/02/2019,11,7,,4,213,117,,3,89,411,34,10,3,1256,4,,2162
06/02/2019,9,9,,7,191,103,,4,98,374,38,5,1,1190,4,1,2034
07/02/2019,15,7,,17,221,103,,3,108,358,33,6,4,1467,5,2,2349
08/02/2019,9,3,,23,214,133,,3,89,348,32,20,9,1396,5,1,2285
09/02/2019,8,1,,25,220,86,,4,79,392,27,8,3,1360,3,2,2218
10/02/2019,8,5,,46,225,98,,1,128,384,30,62,23,1517,8,6,2541
11/02/2019,6,5,,5,219,110,,1,80,449,32,14,4,1512,4,1,2442
12/02/2019,11,6,1,21,225,86,,2,101,347,29,15,5,1404,4,3,2260
13/02/2019,5,5,,8,220,99,,1,70,385,36,11,7,1333,3,,2183
14/02/2019,5,15,,20,207,125,,1,202,456,42,15,8,1270,6,1,2373
15/02/2019,6,1,,11,209,93,,5,211,481,44,23,7,1393,1,2,2487
16/02/2019,3,1,,1,173,65,,1,98,321,35,4,3,1221,4,1,1931
17/02/2019,11,17,,32,214,115,,4,94,495,24,12,5,1390,2,1,2416
18/02/2019,8,9,,20,234,81,,5,134,442,26,21,9,1188,5,3,2185
19/02/2019,10,1,,80,214,68,,1,51,344,23,6,6,1204,5,,2013
20/02/2019,14,11,,,220,94,,2,89,487,24,18,5,1447,5,,2416
21/02/2019,4,6,,,195,85,,1,50,396,62,21,7,1098,5,,1930
22/02/2019,9,8,,16,208,92,,5,71,414,38,26,8,1138,5,,2038
23/02/2019,9,9,,25,177,91,,2,41,469,17,6,3,1071,4,,1924
24/02/2019,9,8,,18,197,71,,2,50,429,43,12,8,1362,3,,2212
25/02/2019,7,1,,3,194,71,,2,49,359,47,13,4,1267,1,,2018
